ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii;Count;MyUniqueID
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;4;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;5;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;6;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;7;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;8;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;9;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;10;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;11;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;12;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;13;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;14;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;15;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;16;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;17;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;18;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;19;163_0
163;209;30.2234;43.416;126.359;43.416;1;0;36.48;39.3641;32.9087;0.0;1858499900;12;0.0;0.0;0;0.0;0.0;0;0;20;163_0
163;163;53.1134;2.52;281.613;2.52;1;0;38.21;39.3449;32.9004;0.0;1858501016;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
163;248;30.2948;36.072;91.2415;36.072;1;0;30.44;39.3644;32.909;0.0;1858504111;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0;0
163;161;53.2947;1.584;253.021;1.584;1;0;39.73;39.3449;32.9004;0.0;1858505180;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
163;41;29.0918;28.8;36.601;28.8;1;0;24.57;39.3651;32.9085;0.0;1858508203;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0;0
163;162;53.3167;0.72;256.998;0.72;1;0;32.63;39.3449;32.9004;0.0;1858509345;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
163;67;27.8998;28.332;356.726;28.332;1;0;40.87;39.3656;32.908;0.0;1858512369;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0;0
163;168;53.2452;1.26;21.0004;1.26;1;0;36.97;39.345;32.9004;0.0;1858513538;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
163;104;25.6036;48.816;321.394;48.816;1;0;40.91;39.3664;32.9067;0.0;1858516655;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0;0
163;171;53.0914;1.98;16.5784;1.98;1;0;38.02;39.345;32.9004;0.0;1858517704;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
163;122;25.2411;43.452;324.976;43.452;1;0;43.67;39.3667;32.9066;0.0;1858520476;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0;0
163;171;53.2782;0.9;45.6097;0.9;1;0;37.56;39.345;32.9005;0.0;1858521875;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
163;151;24.4391;43.056;325.085;43.056;1;0;43.67;39.3671;32.9062;0.0;1858525130;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0;0
163;167;53.476;0.828;174.298;0.828;1;0;39.81;39.3449;32.9005;0.0;1858526034;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
163;173;23.8458;42.804;325.173;42.804;1;0;43.67;39.3674;32.906;0.0;1858528849;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0;0
163;168;53.5529;0.828;149.216;0.828;1;0;33.5;39.3449;32.9005;0.0;1858530199;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
163;2;25.8893;41.184;22.4286;41.184;1;0;14.12;39.3676;32.9077;0.0;1858533508;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0;0
