ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii
54;221;58.1342;0.684;26.2628;0.684;1;0;27.13;39.3445;32.9016;0.0;1858355102;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;13
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;13
43;146;57.9144;37.8;167.322;37.8;1;0;38.86;39.3515;32.9162;0.0;1858355967;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;14
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;14
43;150;57.7002;33.12;166.723;33.12;1;0;33.33;39.3516;32.9161;0.0;1858357476;1;39.3385;32.8896;0;30.214;27.8623;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;15
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;15
213;216;3.74084;4.068;18.7207;4.068;1;0;25.03;39.3819;32.8929;0.0;1858358630;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;16
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;16
56;116;6.97632;3.816;251.614;3.816;1;0;19.17;39.3533;32.8917;0.0;1858358688;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;17
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;17
152;186;10.6403;1.692;281.063;1.692;1;0;21.21;39.3651;32.8958;0.0;1858358717;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;211;14.035;1.872;146.437;1.872;1;0;24.13;39.365;32.8978;0;1858354580;12;0;0;0;0;0;0;0;18
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;18
151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0.0;1858358746;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0
75151;213;14.0515;0.936;80.3925;0.936;1;0;25.28;39.365;32.8979;0;1858358746;12;0;0;0;0;0;0;0;2
225157;72;27.7899;14.184;316.044;14.184;1;0;16.14;39.3595;32.9038;0;1858354842;12;0;0;0;0;0;0;0;19
