ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii;Count;MyUniqueID;TrackRadarID
5822;89;35.1013;104.688;145.712;104.688;1;0;15.58;39.3618;32.9104;0;228878361;12;0;0;0;0;0;0;0;27;58_22;2
65;94;0.917358;23.904;159.576;23.904;1;0;33.32;39.3832;32.8904;0.0;228889430;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
221237;9;28.3118;5.004;119.081;5.004;1;0;31.19;39.365;32.9079;0;228860925;12;0;0;0;0;0;0;0;9;221_237;1
17569;53;60.3479;10.008;327.678;10.008;1;0;18.33;39.3491;32.9133;0;228786975;12;0;0;0;0;0;0;0;12;175_69;1
60249;129;18.7152;7.56;278.69;7.56;1;0;27.62;39.3506;32.8948;0;228612724;12;0;0;0;0;0;0;0;554;60_249;1
1773;129;47.2906;26.676;154.99;26.676;1;0;35.66;39.3565;32.9144;0;228774154;12;0;0;0;0;0;0;0;240;177_3;2
24944;236;39.8639;14.616;306.491;14.616;1;0;37.32;39.3597;32.9123;0;228876929;12;0;0;0;0;0;0;0;28;249_44;1
49139;57;35.0684;9.828;294.285;9.828;1;0;31.22;39.3616;32.9104;0;228882778;12;0;0;0;0;0;0;0;16;49_139;1
16759;153;52.1246;6.588;59.6173;6.588;1;0;34;39.345;32.9001;0;228853485;12;0;0;0;0;0;0;0;89;167_59;2
8857;14;69.2688;18.936;163.251;18.936;1;0;16.59;39.3468;32.9175;0;228830622;12;0;0;0;0;0;0;0;98;88_57;1
110135;146;24.7302;72.684;139.466;72.684;1;0;20.44;39.367;32.9062;0;228694676;12;0;0;0;0;0;0;0;400;110_135;2
1519;43;12.9254;192.06;333.27;192.06;1;0;31.6;39.3749;32.9001;0;228886371;12;0;0;0;0;0;0;0;16;151_9;2
23231;219;55.7281;103.284;352.189;103.284;1;0;23.23;39.3526;32.916;0;228886920;12;0;0;0;0;0;0;0;12;23_231;2
164232;238;74.3555;57.78;168.052;57.78;1;0;32.08;39.3447;32.918;0;228853988;12;0;0;0;0;0;0;0;98;164_232;1
2296;0;69.7357;84.384;168.481;84.384;1;0;44.85;39.3466;32.9174;0;228886524;12;0;0;0;0;0;0;0;15;22_96;1
137143;144;31.5692;34.416;231.564;34.416;1;0;22.51;39.3593;32.9058;0;228878362;12;0;0;0;0;0;0;0;28;137_143;2
82111;62;75.1794;17.856;147.206;17.856;1;0;27.85;39.3446;32.9188;0;228628539;12;0;0;0;0;0;0;0;30;82_111;2
233228;233;41.4899;75.6;143.465;75.6;1;0;33.68;39.3591;32.9128;0;228878367;12;0;0;0;0;0;0;0;28;233_228;2
5822;89;35.1013;104.688;145.712;104.688;1;0;15.58;39.3618;32.9104;0;228878361;12;0;0;0;0;0;0;0;28;58_22;2
124;69;356.512;1.656;305.832;1.656;1;0;47.64;39.3437;32.8889;0.0;228890372;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
134;165;1.23047;223.812;278.877;223.812;1;0;17.2;39.3608;32.8899;0.0;228890420;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
255;248;5.76233;83.304;325.201;83.304;1;0;27.37;39.3798;32.8947;0.0;228890445;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
9;217;11.0413;192.06;333.27;192.06;1;0;31.6;39.3767;32.8989;0.0;228890534;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
133;84;12.5299;3.168;45.7361;3.168;1;0;28.93;39.3663;32.8973;0.0;228890535;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
249;137;18.4625;1.26;255.07;1.26;1;0;25.15;39.3506;32.8945;0.0;228890592;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
20;141;23.2196;4.392;294.571;4.392;1;0;20.71;39.3588;32.9005;0.0;228890656;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
15;134;22.0605;18.216;320.021;18.216;1;0;15.13;39.361;32.9011;0.0;228890712;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
