ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii;Count;MyUniqueID
184;146;50.6305;0.432;141.097;0.432;1;0;25.18;39.3569;32.9182;0.0;1858355016;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;146;50.6415;0.432;140.971;0.432;1;0;25.18;39.3569;32.9182;0.0;1858359182;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;93;26.8176;9.9;226.895;9.9;1;0;34.63;39.3434;32.8925;0.0;1858363083;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;145;50.7898;1.692;143.866;1.692;1;0;20.18;39.3569;32.9183;0.0;1858363347;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;118;27.7954;8.748;49.9768;8.748;1;0;34.56;39.3435;32.8928;0.0;1858367279;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;145;50.8392;1.728;141.438;1.728;1;0;23.73;39.3568;32.9183;0.0;1858367511;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;127;27.9767;7.992;45.1208;7.992;1;0;35.42;39.3436;32.8928;0.0;1858371483;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;146;50.6195;0.612;323.833;0.612;1;0;24.82;39.3569;32.9182;0.0;1858371675;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;136;28.2239;8.028;45.1703;8.028;1;0;35.42;39.3437;32.8929;0.0;1858375637;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;146;50.614;0.396;326.102;0.396;1;0;24.82;39.3569;32.9182;0.0;1858375839;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;114;27.4988;2.772;227.071;2.772;1;0;35.06;39.3435;32.8927;0.0;1858379831;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;146;50.6085;0.396;326.667;0.396;1;0;24.82;39.3569;32.9182;0.0;1858380033;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;111;27.4164;2.412;227.258;2.412;1;0;35.06;39.3435;32.8927;0.0;1858383977;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;125;28.0975;2.232;61.8311;2.232;1;0;34.57;39.3436;32.8928;0.0;1858388159;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;128;28.147;2.232;53.2013;2.232;1;0;35.21;39.3436;32.8929;0.0;1858392296;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;130;28.2513;2.232;53.2837;2.232;1;0;35.21;39.3436;32.8929;0.0;1858396477;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;114;27.5812;4.536;226.697;4.536;1;0;34.78;39.3435;32.8927;0.0;1858400655;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;110;27.4384;4.284;226.28;4.284;1;0;34.78;39.3435;32.8927;0.0;1858404789;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;123;26.2683;4.464;311.133;4.464;1;0;33.64;39.3437;32.8926;0.0;1858408983;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;127;27.2186;1.836;26.7407;1.836;1;0;35.36;39.3436;32.8927;0.0;1858413120;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;129;27.1857;1.836;19.2316;1.836;1;0;35.36;39.3437;32.8927;0.0;1858417314;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;113;27.2076;4.356;208.433;4.356;1;0;35.11;39.3435;32.8927;0.0;1858421479;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;108;27.1967;4.14;208.493;4.14;1;0;35.11;39.3435;32.8926;0.0;1858425642;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;122;27.0978;1.368;11.8378;1.368;1;0;34.21;39.3436;32.8927;0.0;1858429836;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;127;27.8119;2.736;65.7751;2.736;1;0;35.47;39.3436;32.8928;0.0;1858434026;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;128;27.7679;1.944;56.8542;1.944;1;0;35.49;39.3436;32.8928;0.0;1858438167;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;123;27.7185;1.44;190.745;1.44;1;0;35.21;39.3436;32.8928;0.0;1858442331;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;122;27.7734;1.26;185.834;1.26;1;0;35.21;39.3436;32.8928;0.0;1858446494;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;127;28.147;1.404;100.135;1.404;1;0;34.06;39.3436;32.8928;0.0;1858450690;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;128;28.2349;1.296;91.4062;1.296;1;0;35.28;39.3436;32.8929;0.0;1858454857;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;128;28.0261;0.468;39.5398;0.468;1;0;35.43;39.3436;32.8928;0.0;1858459021;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;122;27.8503;2.484;221.166;2.484;1;0;35.05;39.3436;32.8928;0.0;1858463186;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;120;27.8009;2.304;220.649;2.304;1;0;35.05;39.3436;32.8928;0.0;1858467353;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;126;26.4606;4.248;300.438;4.248;1;0;33.58;39.3437;32.8927;0.0;1858471543;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;128;27.29;0.648;3.64197;0.648;1;0;35.49;39.3436;32.8928;0.0;1858475679;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;128;27.2296;0.792;349.211;0.792;1;0;35.49;39.3437;32.8927;0.0;1858479850;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;112;27.2955;4.968;208.68;4.968;1;0;34.96;39.3435;32.8927;0.0;1858484036;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;107;27.2845;4.752;208.85;4.752;1;0;34.96;39.3435;32.8926;0.0;1858488203;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;121;28.0371;2.304;90.5768;2.304;1;0;33.97;39.3436;32.8928;0.0;1858492480;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;127;28.2019;2.88;66.9891;2.88;1;0;35.49;39.3436;32.8929;0.0;1858496562;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;128;28.092;2.016;52.674;2.016;1;0;35.65;39.3436;32.8928;0.0;1858500727;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;124;27.9987;1.044;197.446;1.044;1;0;35.32;39.3436;32.8928;0.0;1858504979;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;123;28.0316;0.864;191.074;0.864;1;0;35.32;39.3436;32.8928;0.0;1858509088;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;127;26.488;4.284;303.882;4.284;1;0;33.67;39.3437;32.8927;0.0;1858513251;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;128;27.4438;0.612;40.7263;0.612;1;0;35.19;39.3436;32.8928;0.0;1858517477;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;128;27.6636;0.72;84.0399;0.72;1;0;35.26;39.3436;32.8928;0.0;1858521550;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;120;27.6086;3.132;204.203;3.132;1;0;35.35;39.3436;32.8928;0.0;1858525746;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
184;117;27.6361;2.916;203.275;2.916;1;0;35.35;39.3435;32.8927;0.0;1858530029;2;39.3385;32.8894;0;31.2412;32.1433;100;5000;0;0
