ID;Range;Azimuth;Velocity;DirectionAngle;RadialVelocity;TrackStatus;ClassificationStatus;SNR;Latitude;Longitude;CreationStatus;UpdateTime;RadarId;RadarLatitude;RadarLongitude;RadarNorthYaw;RadarCenterAngle;RadarHalfwidth;RadarMinRadii;RadarMaxRadii;Count;MyUniqueID;TrackRadarID
171;235;29.7125;9.288;133.956;9.288;1;0;23.77;39.3644;32.9086;0.0;1615136316289;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
137;96;28.1744;10.152;101.788;10.152;1;0;15.96;39.3597;32.9041;0.0;1615136316290;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
240;161;46.3513;7.452;157.885;7.452;1;0;26.3;39.3571;32.9146;0.0;1615136316996;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
177;20;52.6959;30.168;1.04919;30.168;1;0;23.74;39.3541;32.9157;0.0;1615136317264;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
167;168;53.2782;2.628;250.922;2.628;1;0;28.39;39.345;32.9007;0.0;1615136317285;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
175;63;60.1886;18.504;149.991;18.504;1;0;17.53;39.3492;32.9134;0.0;1615136317556;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
58;186;56.9861;25.38;349.937;25.38;1;0;30.2;39.3521;32.9163;0.0;1615136317578;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
57;217;348.981;167.4;317.686;167.4;1;0;28.9;39.3789;32.8792;0.0;1615136318327;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
124;64;357.973;0.9;92.9224;0.9;1;0;47.41;39.3437;32.8891;0.0;1615136318442;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
78;41;2.65869;77.256;324.838;77.256;1;0;27.65;39.3827;32.8919;0.0;1615136318465;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
251;150;4.59778;54.54;320.696;54.54;1;0;22.8;39.3813;32.8937;0.0;1615136318510;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
166;135;8.16833;88.092;333.605;88.092;1;0;23.25;39.3785;32.8967;0.0;1615136318529;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
198;199;12.9913;78.228;327.448;78.228;1;0;28.8;39.374;32.8998;0.0;1615136318645;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
133;86;12.3047;3.78;60.1831;3.78;1;0;28.69;39.3663;32.8971;0.0;1615136318646;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
249;144;17.8967;0.576;313.709;0.576;1;0;23.73;39.3507;32.8944;0.0;1615136318649;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
112;47;20.3137;73.476;324.97;73.476;1;0;28.11;39.3692;32.9039;0.0;1615136318667;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
176;250;14.8041;124.272;159.785;124.272;1;0;13.86;39.3585;32.8961;0.0;1615136318668;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
34;190;21.9232;6.264;55.1843;6.264;1;0;21.56;39.3679;32.9046;0.0;1615136318695;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
206;81;27.3889;65.376;124.459;65.376;1;0;22.52;39.3597;32.9034;0.0;1615136318753;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
33;28;28.4766;9.684;261.068;9.684;1;0;20.28;39.3671;32.9093;0.0;1615136318811;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
205;230;41.2372;240.264;144.498;240.264;1;0;20.08;39.3592;32.9126;0.0;1615136318927;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
146;216;43.5608;25.992;142.63;25.992;1;0;35.72;39.3583;32.9136;0.0;1615136318956;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
90;9;52.3499;57.996;168.497;57.996;1;0;37.64;39.3541;32.9153;0.0;1615136319042;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
203;221;56.0468;2.736;325.519;2.736;1;0;33.2;39.3448;32.9013;0.0;1615136319143;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
200;202;54.3658;10.26;99.613;10.26;1;0;33.98;39.345;32.9009;0.0;1615136319144;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
199;134;63.1934;0.036;104.755;0.036;1;0;28.09;39.3432;32.9013;0.0;1615136319160;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
78;135;61.2488;37.62;162.839;37.62;1;0;21.05;39.3502;32.9168;0.0;1615136319161;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
69;133;64.6875;6.624;356.462;6.624;1;0;25.25;39.3479;32.9149;0.0;1615136319186;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
96;52;67.4121;19.188;165.69;19.188;1;0;32.06;39.3476;32.9173;0.0;1615136319215;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
109;117;75.8606;3.456;299.68;3.456;1;0;33.62;39.3433;32.9137;0.0;1615136319302;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
111;49;73.6414;16.236;122.937;16.236;1;0;20.03;39.3452;32.9184;0.0;1615136319304;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
157;224;72.0868;82.944;173.633;82.944;1;0;25.4;39.3456;32.9173;0.0;1615136319305;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
191;213;75.7013;1.404;163.784;1.404;1;0;22.92;39.3413;32.9033;0.0;1615136319306;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
56;160;77.8931;8.928;176.6;8.928;1;0;13.09;39.3442;32.9231;0.0;1615136319388;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
82;11;69.8621;16.848;167.234;16.848;1;0;31.5;39.3465;32.9176;0.0;1615136319535;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
233;215;72.7295;10.62;327.766;10.62;1;0;23.24;39.3453;32.9175;0.0;1615136319536;1;39.3385;32.8896;0;31.5464;43.8097;100;5000;0;0;1
57;127;347.767;167.4;317.686;167.4;1;0;28.9;39.3802;32.8776;0.0;1615136322484;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
124;63;358.22;1.296;95.9436;1.296;1;0;46.17;39.3437;32.8891;0.0;1615136322647;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
78;112;2.02698;77.22;324.838;77.22;1;0;27.65;39.3833;32.8913;0.0;1615136322656;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
251;195;4.06494;54.036;320.065;54.036;1;0;22.8;39.3817;32.8932;0.0;1615136322657;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
166;15;6.85547;99.864;333.798;99.864;1;0;29.25;39.3799;32.8957;0.0;1615136322715;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
198;2;11.9861;77.688;325.541;77.688;1;0;30.87;39.3747;32.8992;0.0;1615136322742;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
133;89;12.3541;3.6;57.9034;3.6;1;0;28.69;39.3663;32.8972;0.0;1615136322744;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
249;144;17.8802;0.468;299.07;0.468;1;0;23.73;39.3507;32.8944;0.0;1615136322802;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
112;95;19.314;72.612;325.289;72.612;1;0;30.9;39.3698;32.9034;0.0;1615136322834;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
34;155;22.6318;10.62;149.749;10.62;1;0;15.53;39.3675;32.9049;0.0;1615136322861;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
176;126;17.2815;126.576;159.044;126.576;1;0;13.86;39.3572;32.8968;0.0;1615136322862;2;39.3385;32.8894;0;29.3946;50.6221;100;5000;0;0;2
